epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,17859.1,0.76536,0.43431,1.03375,0.93371,0.92387,0.9518,0.70243,0.91834,0.49564,1.11743,0.000218,0.000218,0.000218
92,18036.3,0.74243,0.41937,1.02611,0.92059,0.92516,0.95672,0.71101,0.90034,0.48387,1.10453,0.0001982,0.0001982,0.0001982
93,18213.8,0.74471,0.41584,1.03487,0.94082,0.92129,0.95766,0.71365,0.89334,0.48042,1.10564,0.0001784,0.0001784,0.0001784
94,18391,0.74419,0.41491,1.02642,0.94445,0.91871,0.95912,0.71685,0.88704,0.47245,1.09867,0.0001586,0.0001586,0.0001586
95,18567.5,0.73502,0.40784,1.02085,0.94179,0.91857,0.96093,0.71785,0.89165,0.47211,1.10022,0.0001388,0.0001388,0.0001388
96,18744.1,0.73775,0.40285,1.02003,0.94068,0.92084,0.96265,0.72143,0.88651,0.4662,1.09435,0.000119,0.000119,0.000119
97,18920.3,0.72576,0.40448,1.01538,0.94518,0.91742,0.96346,0.72261,0.87719,0.46118,1.09138,9.92e-05,9.92e-05,9.92e-05
98,19097.8,0.73014,0.40591,1.02008,0.94144,0.92387,0.96272,0.72411,0.87698,0.45499,1.09231,7.94e-05,7.94e-05,7.94e-05
99,19274.3,0.71415,0.3956,1.00725,0.94418,0.92387,0.9639,0.72471,0.87469,0.45745,1.09014,5.96e-05,5.96e-05,5.96e-05
100,19450.3,0.70411,0.38657,1.00524,0.94536,0.92258,0.96498,0.72603,0.87679,0.45348,1.09046,3.98e-05,3.98e-05,3.98e-05
